模型,Accuracy,Precision,Recall,F1-Score,MCC,ROC-AUC,TN,FP,FN,TP
Logistic Regression,0.6593,0.384,0.5053,0.4364,0.2026,0.6334,192,77,47,48
SVM,0.6676,0.3774,0.4211,0.398,0.1698,0.633,203,66,55,40
Random Forest,0.7115,0.4444,0.4211,0.4324,0.2394,0.668,219,50,55,40
XGBoost,0.7088,0.4321,0.3684,0.3977,0.2084,0.6481,223,46,60,35
