模型,Accuracy,Precision,Recall,F1-Score,MCC,ROC-AUC,TN,FP,FN,TP
Logistic Regression,0.7074,0.3832,0.4942,0.4317,0.2424,0.6897,1594,478,304,297
SVM,0.6876,0.3685,0.5458,0.44,0.2432,0.6952,1510,562,273,328
Random Forest,0.7299,0.4104,0.4609,0.4342,0.2583,0.6993,1674,398,324,277
XGBoost,0.7643,0.4621,0.2945,0.3598,0.2325,0.6869,1866,206,424,177
